AÑO;DISTRITO;BARRIO;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2
2019;13. Puente de Vallecas;133. Palomeras Bajas;19;126;112;51;23
2019;13. Puente de Vallecas;134. Palomeras Sureste;5;138;57;122;69
2019;13. Puente de Vallecas;135. Portazgo;9;95;93;63;24
2019;13. Puente de Vallecas;136. Numancia;114;205;122;49;50
2019;14. Moratalaz;14. Moratalaz;;;;;
2019;14. Moratalaz;14. Moratalaz;3;235;163;195;68
2019;14. Moratalaz;141. Pavones;0;27;5;21;4
2019;14. Moratalaz;142. Horcajo;0;0;3;9;3
2019;14. Moratalaz;143. Marroquina;3;40;12;76;26
2019;14. Moratalaz;144. Media Legua;0;53;30;26;24
2019;14. Moratalaz;145. Fontarrón;0;77;65;22;8
2019;14. Moratalaz;146. Vinateros;0;38;48;41;3
2019;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;121;790;665;261;255
2019;15. Ciudad Lineal;151. Ventas;34;214;209;38;24
2019;15. Ciudad Lineal;152. Pueblo Nuevo;38;247;193;74;26
2019;15. Ciudad Lineal;153. Quintana;19;117;90;22;16
2019;15. Ciudad Lineal;154. Concepción;12;94;74;16;9
2019;15. Ciudad Lineal;155. San Pascual;7;59;16;32;28
2019;15. Ciudad Lineal;156. San Juan Bautista;5;19;29;31;41
2019;15. Ciudad Lineal;157. Colina;1;20;18;12;26
2019;15. Ciudad Lineal;158. Atalaya;3;3;12;3;2
2019;15. Ciudad Lineal;159. Costillares;2;17;24;33;83
2019;16. Hortaleza;16. Hortaleza;;;;;
2019;16. Hortaleza;16. Hortaleza;36;378;435;369;1.038
2019;16. Hortaleza;161. Palomas;0;0;2;7;44
2019;16. Hortaleza;162. Piovera;2;7;12;13;70
2019;16. Hortaleza;163. Canillas;15;51;105;87;41
2019;16. Hortaleza;164. Pinar del Rey;17;223;160;154;74
2019;16. Hortaleza;165. Apóstol Santiago;0;12;49;29;30
2019;16. Hortaleza;166. Valdefuentes;2;85;107;79;779
2019;17. Villaverde;17. Villaverde;;;;;
2019;17. Villaverde;17. Villaverde;91;573;674;266;647
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;27;167;172;36;36
2019;17. Villaverde;172. San Cristóbal;2;145;124;16;6
2019;17. Villaverde;173. Butarque;41;64;65;78;288
2019;17. Villaverde;174. Los Rosales;21;125;86;41;18
2019;17. Villaverde;175. Ángeles;0;72;227;95;299
2019;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;139;319;321;440;444
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;25;146;98;28;24
2019;18. Villa de Vallecas;182. Santa Eugenia;6;13;29;119;35
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;108;160;193;265;359
2019;19. Vicálvaro;19. Vicálvaro;;;;;
2019;19. Vicálvaro;19. Vicálvaro;9;151;142;228;425
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;8;148;74;21;22
2019;19. Vicálvaro;192. Valdebernardo;1;0;16;19;9
2019;19. Vicálvaro;193. Valderribas;0;2;16;15;35
2019;19. Vicálvaro;194. El Cañaveral;0;1;36;173;358
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;157;662;353;307;278
2019;20. San Blas-Canillejas;201. Simancas;91;103;80;43;63
2019;20. San Blas-Canillejas;202. Hellín;0;45;32;11;42
2019;20. San Blas-Canillejas;203. Amposta;3;105;12;14;2
2019;20. San Blas-Canillejas;204. Arcos;0;105;22;74;5
2019;20. San Blas-Canillejas;205. Rosas;13;7;31;48;38
2019;20. San Blas-Canillejas;206. Rejas;42;184;43;55;47
2019;20. San Blas-Canillejas;207. Canillejas;8;93;121;41;49
2019;20. San Blas-Canillejas;208. El Salvador;0;20;12;21;32
2019;21. Barajas;21. Barajas;;;;;
2019;21. Barajas;21. Barajas;57;95;147;116;148
2019;21. Barajas;211. Alameda de Osuna;30;36;84;52;86
2019;21. Barajas;212. Aeropuerto;0;10;2;1;1
2019;21. Barajas;213. Casco Histórico de Barajas;6;20;26;14;6
2019;21. Barajas;214. Timón;21;21;31;30;22
2019;21. Barajas;215. Corralejos;0;8;4;19;33
2020;01. Centro;01. Centro;;;;;
2020;01. Centro;01. Centro;465;411;295;190;303
2020;01. Centro;011. Palacio;30;38;34;21;22
2020;01. Centro;012. Embajadores;247;169;127;46;57
2020;01. Centro;013. Cortes;16;31;17;14;35
2020;01. Centro;014. Justicia;45;43;32;41;57
2020;01. Centro;015. Universidad;117;123;77;59;90
2020;01. Centro;016. Sol;10;7;8;9;42
2020;02. Arganzuela;02. Arganzuela;;;;;
2020;02. Arganzuela;02. Arganzuela;78;161;245;186;261
2020;02. Arganzuela;021. Imperial;21;25;54;29;41
2020;02. Arganzuela;022. Acacias;9;26;13;10;9
2020;02. Arganzuela;023. Chopera;10;34;12;14;5
2020;02. Arganzuela;024. Legazpi;0;4;21;50;20
2020;02. Arganzuela;025. Delicias;13;24;90;29;93
2020;02. Arganzuela;026. Palos de Moguer;25;45;55;36;20
2020;02. Arganzuela;027. Atocha;0;3;0;18;73
2020;03. Retiro;03. Retiro;;;;;
2020;03. Retiro;03. Retiro;71;112;149;128;316
2020;03. Retiro;031. Pacífico;26;39;43;44;52
2020;03. Retiro;032. Adelfas;8;33;40;22;29
2020;03. Retiro;033. Estrella;4;4;29;14;65
2020;03. Retiro;034. Ibiza;30;25;25;30;72
2020;03. Retiro;035. Los Jerónimos;0;1;2;1;61
2020;03. Retiro;036. Niño Jesús;3;10;10;17;37
2020;04. Salamanca;04. Salamanca;;;;;
2020;04. Salamanca;04. Salamanca;129;235;283;185;547
2020;04. Salamanca;041. Recoletos;7;14;12;7;50
2020;04. Salamanca;042. Goya;27;47;55;55;110
2020;04. Salamanca;043. Fuente del Berro;27;43;58;29;37
2020;04. Salamanca;044. Guindalera;42;83;99;57;231
2020;04. Salamanca;045. Lista;15;36;43;18;57
2020;04. Salamanca;046. Castellana;11;12;16;19;62
2020;05. Chamartín;05. Chamartín;;;;;
2020;05. Chamartín;05. Chamartín;56;183;275;188;385
2020;05. Chamartín;051. El Viso;4;17;22;26;96
2020;05. Chamartín;052. Prosperidad;22;76;105;61;49
2020;05. Chamartín;053. Ciudad Jardín;13;27;37;25;21
2020;05. Chamartín;054. Hispanoamérica;4;31;51;44;87
2020;05. Chamartín;055. Nueva España;9;22;38;16;71
2020;05. Chamartín;056. Castilla;4;10;22;16;61
2020;06. Tetuán;06. Tetuán;;;;;
2020;06. Tetuán;06. Tetuán;239;426;418;238;308
2020;06. Tetuán;061. Bellas Vistas;50;72;53;23;25
2020;06. Tetuán;062. Cuatro Caminos;62;66;76;59;84
2020;06. Tetuán;063. Castillejos;24;38;39;25;53
2020;06. Tetuán;064. Almenara;11;50;85;66;102
2020;06. Tetuán;065. Valdeacederas;50;108;118;39;27
2020;06. Tetuán;066. Berruguete;42;92;47;26;17
2020;07. Chamberí;07. Chamberí;;;;;
2020;07. Chamberí;07. Chamberí;169;208;176;154;446
2020;07. Chamberí;071. Gaztambide;38;38;33;29;97
2020;07. Chamberí;072. Arapiles;23;70;46;25;60
2020;07. Chamberí;073. Trafalgar;46;36;25;24;58
2020;07. Chamberí;074. Almagro;18;16;16;16;91
2020;07. Chamberí;075. Ríos Rosas;37;37;32;27;71
2020;07. Chamberí;076. Vallehermoso;7;11;24;33;69
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;59;300;288;223;699
2020;08. Fuencarral-El Pardo;081. El Pardo;0;1;7;8;3
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;0;1;1;1;28
2020;08. Fuencarral-El Pardo;083. Peñagrande;4;48;77;56;141
2020;08. Fuencarral-El Pardo;084. Pilar;20;149;42;14;64
2020;08. Fuencarral-El Pardo;085. La Paz;0;1;15;29;66
2020;08. Fuencarral-El Pardo;086. Valverde;30;87;116;56;89
2020;08. Fuencarral-El Pardo;087. Mirasierra;3;9;18;26;189
2020;08. Fuencarral-El Pardo;088. El Goloso;2;4;12;33;119
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;32;119;226;131;430
2020;09. Moncloa-Aravaca;091. Casa de Campo;5;14;25;22;22
2020;09. Moncloa-Aravaca;092. Argüelles;12;24;37;23;93
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;2;14;10;11;36
2020;09. Moncloa-Aravaca;094. Valdezarza;7;37;118;36;66
2020;09. Moncloa-Aravaca;095. Valdemarín;3;13;4;15;32
2020;09. Moncloa-Aravaca;096. El Plantío;1;3;6;2;50
2020;09. Moncloa-Aravaca;097. Aravaca;2;14;26;22;131
2020;10. Latina;10. Latina;;;;;
2020;10. Latina;10. Latina;56;462;727;291;191
2020;10. Latina;101. Los Cármenes;3;33;47;18;13
2020;10. Latina;102. Puerta del Ángel;29;103;123;43;22
2020;10. Latina;103. Lucero;9;90;114;48;51
2020;10. Latina;104. Aluche;5;88;244;129;58
2020;10. Latina;105. Campamento;5;70;40;11;25
2020;10. Latina;106. Cuatro Vientos;0;11;7;6;5
2020;10. Latina;107. Águilas;5;67;152;36;17
2020;11. Carabanchel;11. Carabanchel;;;;;
2020;11. Carabanchel;11. Carabanchel;104;566;499;243;146
2020;11. Carabanchel;111. Comillas;16;41;33;32;10
2020;11. Carabanchel;112. Opañel;9;66;62;25;9
2020;11. Carabanchel;113. San Isidro;45;131;102;45;23
2020;11. Carabanchel;114. Vista Alegre;17;127;142;37;39
2020;11. Carabanchel;115. Puerta Bonita;3;54;36;32;19
2020;11. Carabanchel;116. Buenavista;10;107;92;65;37
2020;11. Carabanchel;117. Abrantes;4;40;32;7;9
2020;12. Usera;12. Usera;;;;;
2020;12. Usera;12. Usera;45;180;223;241;462
2020;12. Usera;121. Orcasitas;0;2;8;38;52
2020;12. Usera;122. Orcasur;3;1;24;12;34
2020;12. Usera;123. San Fermín;10;26;58;36;25
2020;12. Usera;124. Almendrales;9;44;41;104;334
2020;12. Usera;125. Moscardó;5;44;58;15;5
2020;12. Usera;126. Zofío;6;26;11;4;4
2020;12. Usera;127. Pradolongo;12;37;23;32;8
2020;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;256;662;415;292;161
2020;13. Puente de Vallecas;131. Entrevías;24;55;66;56;29
2020;13. Puente de Vallecas;132. San Diego;96;218;89;29;13
2020;13. Puente de Vallecas;133. Palomeras Bajas;24;84;65;33;20
2020;13. Puente de Vallecas;134. Palomeras Sureste;2;88;53;108;45
2020;13. Puente de Vallecas;135. Portazgo;4;70;54;32;15
2020;13. Puente de Vallecas;136. Numancia;106;147;88;34;39
2020;14. Moratalaz;14. Moratalaz;;;;;
2020;14. Moratalaz;14. Moratalaz;0;177;144;162;51
2020;14. Moratalaz;141. Pavones;0;10;9;19;4
2020;14. Moratalaz;142. Horcajo;0;0;1;6;2
2020;14. Moratalaz;143. Marroquina;0;44;7;66;21
2020;14. Moratalaz;144. Media Legua;0;41;27;24;13
2020;14. Moratalaz;145. Fontarrón;0;45;57;19;6
2020;14. Moratalaz;146. Vinateros;0;37;43;28;5
2020;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;85;524;489;210;194
2020;15. Ciudad Lineal;151. Ventas;14;143;141;33;17
2020;15. Ciudad Lineal;152. Pueblo Nuevo;34;180;182;70;30
2020;15. Ciudad Lineal;153. Quintana;16;69;64;23;10
2020;15. Ciudad Lineal;154. Concepción;7;68;46;11;17
2020;15. Ciudad Lineal;155. San Pascual;7;34;8;20;21
2020;15. Ciudad Lineal;156. San Juan Bautista;1;6;17;15;18
2020;15. Ciudad Lineal;157. Colina;4;6;12;14;11
2020;15. Ciudad Lineal;158. Atalaya;0;4;6;0;4
2020;15. Ciudad Lineal;159. Costillares;2;14;13;24;66
2020;16. Hortaleza;16. Hortaleza;;;;;
2020;16. Hortaleza;16. Hortaleza;20;209;309;209;450
2020;16. Hortaleza;161. Palomas;0;0;1;7;45
2020;16. Hortaleza;162. Piovera;1;1;4;11;60
2020;16. Hortaleza;163. Canillas;6;39;85;71;28
2020;16. Hortaleza;164. Pinar del Rey;10;130;116;68;34
2020;16. Hortaleza;165. Apóstol Santiago;2;10;46;16;14
2020;16. Hortaleza;166. Valdefuentes;1;29;57;36;269
2020;17. Villaverde;17. Villaverde;;;;;
2020;17. Villaverde;17. Villaverde;23;304;287;153;259
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;11;100;80;21;28
2020;17. Villaverde;172. San Cristóbal;1;72;54;3;3
2020;17. Villaverde;173. Butarque;2;16;34;34;174
2020;17. Villaverde;174. Los Rosales;9;75;58;25;14
2020;17. Villaverde;175. Ángeles;0;41;61;70;40
2020;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;39;206;257;273;202
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;17;122;83;37;12
2020;18. Villa de Vallecas;182. Santa Eugenia;3;5;17;67;25
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;19;79;157;169;165
2020;19. Vicálvaro;19. Vicálvaro;;;;;
2020;19. Vicálvaro;19. Vicálvaro;15;114;167;301;353
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;11;105;54;19;8
2020;19. Vicálvaro;192. Valdebernardo;0;2;4;16;8
2020;19. Vicálvaro;193. Valderribas;0;0;13;10;13
2020;19. Vicálvaro;194. El Cañaveral;4;7;96;255;323
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;92;317;268;236;246
2020;20. San Blas-Canillejas;201. Simancas;80;63;48;27;39
2020;20. San Blas-Canillejas;202. Hellín;0;34;26;8;33
2020;20. San Blas-Canillejas;203. Amposta;0;66;12;6;1
2020;20. San Blas-Canillejas;204. Arcos;0;82;27;72;79
2020;20. San Blas-Canillejas;205. Rosas;0;5;39;35;19
2020;20. San Blas-Canillejas;206. Rejas;2;15;29;50;28
2020;20. San Blas-Canillejas;207. Canillejas;8;46;72;26;21
2020;20. San Blas-Canillejas;208. El Salvador;2;6;15;12;26
2020;21. Barajas;21. Barajas;;;;;
2020;21. Barajas;21. Barajas;7;46;101;92;352
2020;21. Barajas;211. Alameda de Osuna;0;2;40;42;71
2020;21. Barajas;212. Aeropuerto;0;10;2;0;0
2020;21. Barajas;213. Casco Histórico de Barajas;3;17;11;5;5
2020;21. Barajas;214. Timón;2;13;39;31;243
2020;21. Barajas;215. Corralejos;2;4;9;14;33
