AÑO;DISTRITO;BARRIO;Total viviendas
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;1.727
2020;10. Latina;101. Los Cármenes;114
2020;10. Latina;102. Puerta del Ángel;320
2020;10. Latina;103. Lucero;312
2020;10. Latina;104. Aluche;524
2020;10. Latina;105. Campamento;151
2020;10. Latina;106. Cuatro Vientos;29
2020;10. Latina;107. Águilas;277
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;1.558
2020;11. Carabanchel;111. Comillas;132
2020;11. Carabanchel;112. Opañel;171
2020;11. Carabanchel;113. San Isidro;346
2020;11. Carabanchel;114. Vista Alegre;362
2020;11. Carabanchel;115. Puerta Bonita;144
2020;11. Carabanchel;116. Buenavista;311
2020;11. Carabanchel;117. Abrantes;92
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;1.151
2020;12. Usera;121. Orcasitas;100
2020;12. Usera;122. Orcasur;74
2020;12. Usera;123. San Fermín;155
2020;12. Usera;124. Almendrales;532
2020;12. Usera;125. Moscardó;127
2020;12. Usera;126. Zofío;51
2020;12. Usera;127. Pradolongo;112
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;1.786
2020;13. Puente de Vallecas;131. Entrevías;230
2020;13. Puente de Vallecas;132. San Diego;445
2020;13. Puente de Vallecas;133. Palomeras Bajas;226
2020;13. Puente de Vallecas;134. Palomeras Sureste;296
2020;13. Puente de Vallecas;135. Portazgo;175
2020;13. Puente de Vallecas;136. Numancia;414
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;534
2020;14. Moratalaz;141. Pavones;42
2020;14. Moratalaz;142. Horcajo;9
2020;14. Moratalaz;143. Marroquina;138
2020;14. Moratalaz;144. Media Legua;105
2020;14. Moratalaz;145. Fontarrón;127
2020;14. Moratalaz;146. Vinateros;113
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;1.502
2020;15. Ciudad Lineal;151. Ventas;348
2020;15. Ciudad Lineal;152. Pueblo Nuevo;496
2020;15. Ciudad Lineal;153. Quintana;182
2020;15. Ciudad Lineal;154. Concepción;149
2020;15. Ciudad Lineal;155. San Pascual;90
2020;15. Ciudad Lineal;156. San Juan Bautista;57
2020;15. Ciudad Lineal;157. Colina;47
2020;15. Ciudad Lineal;158. Atalaya;14
2020;15. Ciudad Lineal;159. Costillares;119
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;1.197
2020;16. Hortaleza;161. Palomas;53
2020;16. Hortaleza;162. Piovera;77
2020;16. Hortaleza;163. Canillas;229
2020;16. Hortaleza;164. Pinar del Rey;358
2020;16. Hortaleza;165. Apóstol Santiago;88
2020;16. Hortaleza;166. Valdefuentes;392
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;1.026
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;240
2020;17. Villaverde;172. San Cristóbal;133
2020;17. Villaverde;173. Butarque;260
2020;17. Villaverde;174. Los Rosales;181
2020;17. Villaverde;175. Ángeles;212
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;977
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;271
2020;18. Villa de Vallecas;182. Santa Eugenia;117
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;589
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;950
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;197
2020;19. Vicálvaro;192. Valdebernardo;30
2020;19. Vicálvaro;193. Valderribas;36
2020;19. Vicálvaro;194. El Cañaveral;685
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;1.159
2020;20. San Blas-Canillejas;201. Simancas;257
2020;20. San Blas-Canillejas;202. Hellín;101
2020;20. San Blas-Canillejas;203. Amposta;85
2020;20. San Blas-Canillejas;204. Arcos;260
2020;20. San Blas-Canillejas;205. Rosas;98
2020;20. San Blas-Canillejas;206. Rejas;124
2020;20. San Blas-Canillejas;207. Canillejas;173
2020;20. San Blas-Canillejas;208. El Salvador;61
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;598
2020;21. Barajas;211. Alameda de Osuna;155
2020;21. Barajas;212. Aeropuerto;12
2020;21. Barajas;213. Casco Histórico de Barajas;41
2020;21. Barajas;214. Timón;328
2020;21. Barajas;215. Corralejos;62
